year-month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,wet_bulb_temperature,mean_temp,online_f&b_sales_proportion,year,month
2019-01,38.2,9,63.6,75.6,24.605376344086025,28.0,7.3,2019,01
2019-02,13.4,5,31.6,74.1,24.58169642857143,28.2,7.4,2019,02
2019-03,29.0,6,72.2,72.3,24.7375,28.7,8.1,2019,03
2019-04,52.4,9,174.8,77.6,25.502777777777776,28.6,8.2,2019,04
2019-05,17.2,13,69.0,79.2,26.34193548387097,29.3,8.1,2019,05
2019-06,37.6,16,173.8,79.5,25.61277777777778,28.4,8.7,2019,06
2019-07,6.6,8,12.2,75.2,25.546505376344083,29.0,8.9,2019,07
2019-08,3.8,6,11.8,72.1,25.14758064516129,29.1,9.4,2019,08
2019-09,16.4,4,22.8,73.0,25.17666666666667,29.0,9.4,2019,09
2019-10,92.2,15,176.8,78.1,25.08306451612903,28.1,9.8,2019,10
2019-11,73.4,15,137.4,79.2,25.128194444444443,28.0,9.9,2019,11
2019-12,74.2,14,421.5,83.9,24.581317204301076,26.7,10.2,2019,12
2020-01,38.0,6,88.4,77.9,24.690725806451614,27.7,10.3,2020,01
2020-02,23.8,8,65.0,76.0,24.543390804597703,27.9,13.7,2020,02
2020-03,47.4,8,108.8,75.2,25.122580645161293,28.6,16.8,2020,03
2020-04,51.8,12,188.0,76.4,25.509722222222223,28.9,41.1,2020,04
2020-05,53.8,16,255.6,79.1,26.02405913978495,28.9,47.5,2020,05
2020-06,41.0,21,233.8,80.2,25.440416666666664,28.1,35.1,2020,06
2020-07,30.4,22,140.8,78.2,25.021639784946235,27.9,22.9,2020,07
2020-08,34.6,12,103.4,76.8,25.113844086021505,28.3,22.1,2020,08
2020-09,32.8,18,150.2,79.0,24.719305555555557,27.5,21.9,2020,09
2020-10,19.0,16,78.8,75.4,24.916263440860217,28.3,21.3,2020,10
2020-11,64.2,19,220.6,81.7,24.803055555555556,27.2,20.9,2020,11
2020-12,58.2,20,253.2,81.1,24.651612903225807,27.2,21.3,2020,12
2021-01,210.6,17,692.8,82.6,23.73333333333333,26.0,22.4,2021,01
2021-02,0.6,2,1.0,73.8,23.745386904761904,27.3,22.0,2021,02
2021-03,38.0,14,182.4,76.6,24.68938172043011,27.9,24.1,2021,03
2021-04,83.8,14,290.4,77.4,25.122500000000002,28.2,25.1,2021,04
2021-05,49.8,13,245.8,79.3,25.861424731182797,28.7,38.9,2021,05
2021-06,23.8,20,93.4,77.8,25.489305555555553,28.5,48.2,2021,06
2021-07,75.0,12,195.8,76.5,25.36922043010753,28.6,39.6,2021,07
2021-08,71.4,24,293.6,80.4,24.96317204301075,27.6,39.2,2021,08
2021-09,63.4,14,205.4,77.3,25.195833333333333,28.3,34.1,2021,09
2021-10,59.6,14,177.0,78.3,25.493682795698923,28.5,39.1,2021,10
2021-11,47.8,23,312.4,81.7,25.111944444444443,27.6,33.4,2021,11
2021-12,46.8,15,119.6,79.7,24.95604838709677,27.7,28.4,2021,12
2022-01,50.0,9,99.8,77.4,24.380913978494625,27.4,28.8,2022,01
2022-02,29.6,16,175.0,80.3,24.64985119047619,27.3,30.2,2022,02
2022-03,36.2,21,163.2,79.2,25.253225806451614,28.1,30.0,2022,03
2022-04,58.8,18,239.6,80.0,25.375416666666666,28.1,26.5,2022,04
2022-05,44.6,12,102.0,76.5,25.881317204301077,29.2,24.1,2022,05
2022-06,59.4,17,211.8,79.1,25.118055555555557,27.9,25.3,2022,06
2022-07,27.8,16,145.2,76.8,25.43911290322581,28.6,26.0,2022,07
2022-08,32.4,15,141.4,77.4,25.072311827956987,28.1,25.6,2022,08
